text,label
Hi how was school,0
Lets play tomorrow,0
How was your homework today,0
Good luck on your exam,0
What games do you like,0
Do you want to join the group chat,0
Happy birthday hope you have fun,0
See you at practice tomorrow,0
Did you finish the project,0
Your drawing looks amazing,0
What are your hobbies,0
Let's study together online,0
Hope you feel better soon,0
What movie did you watch,0
Want to play Minecraft later,0
Don't tell your parents,1
I'll buy you gifts,1
Send me private photos,1
You are mature for your age,1
Keep our chats secret,1
Don’t tell anyone we talk,1
I can give you money if you send pics,1
Your parents wouldn’t understand us,1
Can you video call when you're alone,1
Show me what you're wearing,1
You can trust me more than your friends,1
Let's keep this between us,1
Send me a picture no one else has seen,1
If you care about me you'll do it,1
I won’t tell if you don’t tell,1
Meet me without telling anyone,1
Can you lock your door first,1
Delete our messages after reading,1
You owe me after the gifts I sent,1
Don’t be shy send something private,1
You're special I only talk like this with you,1
Let's move this chat somewhere secret,1
Don’t tell your teacher about us,1
Can you prove you trust me,1
Send me a photo right now,1
How was soccer practice today,0
Did you finish your science assignment,0
Want to play Roblox later,0
That was a funny meme you sent,0
Are you joining the class trip,0
What music do you listen to,0
Good job on your test score,0
Do you want help with homework,0
I’ll be offline after dinner,0
See you in the game lobby tonight,0
How is your dog doing now,0
That new movie was awesome,0
My mom made pizza tonight,0
Can you send me the notes from class,0
Hope your weekend goes well,0
What level are you on now,0
Did your team win yesterday,0
Let’s practice coding tomorrow,0
I liked your artwork post,0
Talk later after school,0
You seem older than kids your age,1
I understand you better than people around you,1
We have a special connection,1
You can tell me things you hide from others,1
No one needs to know about our chats,1
Keep our conversations private,1
Delete this after reading,1
Talk to me when nobody is home,1
Can you chat after your parents sleep,1
Don’t mention me to your friends,1
I can send you something if you send me something first,1
You’d look cute in pajamas,1
Show me a picture just for me,1
Can you send something more personal,1
I promise I won’t share what you send,1
If you trust me prove it,1
Don’t act like a child be brave,1
You’re mature enough for adult conversations,1
Have you ever kept a secret from your parents,1
Do you have a lock on your bedroom door,1
Can you go somewhere private to talk,1
Let’s move to another app where nobody can see,1
Use disappearing messages with me,1
Turn your camera on when you're alone,1
Can you show me your room on video,1
What do you wear to bed,1
Don’t tell anyone I asked that,1
If you cared about me you would send it,1
I thought you trusted me more than that,1
I spent money on you now do this for me,1
Meet me without telling anyone first,1
Sneak out and I’ll be waiting,1
Don’t bring a friend when we meet,1
You don’t need permission to see me,1
Your parents are too strict ignore them,1
Only I really understand you,1
I can help you grow up faster,1
Tell me if anyone checks your phone,1
Hide my name in your contacts,1
Erase our chat history tonight,1
Send a picture with no clothes showing,1
Just lift the camera a little higher,1
No one gets hurt if we keep this secret,1
You owe me after all I’ve done for you,1
Let’s make this our secret game,1
Pretend this is just roleplay and send it,1
Don’t be scared everyone does this,1
You’d make me happy if you did that,1
If you stop replying I’ll be upset,1
Promise me you won’t tell an adult,1
Did you watch the match yesterday,0
What book are you reading now,0
Can you send the homework schedule,0
I’ll join the call after dinner,0
Nice job in the tournament,0
Do you want to practice piano later,0
My internet was down earlier,0
Let me know when you finish class,0
That joke made me laugh,0
Which character do you play in the game,0
I have to help my family now,0
See you at the club meeting tomorrow,0
Can you share the project link,0
I’m studying for the quiz tonight,0
What snacks do you like best,0
We should play after school,0
Hope your presentation goes well,0
Send me the recipe you mentioned,0
Did you finish the new level,0
Talk tomorrow I’m logging off,0
You don’t need to tell anyone we talk,1
Some secrets are okay between friends,1
I feel closer to you than anyone else,1
You can trust me with anything private,1
Tell me something you’ve never told your parents,1
Do your parents check your messages often,1
Message me when adults are not around,1
Can you talk where nobody can overhear,1
Let’s use a private account to chat,1
Make a new profile just for talking to me,1
Change my name in your phone so no one knows,1
Can you send a selfie only for me,1
Take one right now and don’t show others,1
I bet you look cute in sleep clothes,1
Show me a picture from today in your room,1
Can you angle the camera down a little,1
Don’t be nervous this stays between us,1
If you really trust me you’ll do this,1
I did something nice for you now your turn,1
Don’t disappoint me after all our talks,1
You’re not a little kid act grown with me,1
Adults wouldn’t understand our friendship,1
I can teach you things other people won’t,1
Have you ever broken rules without getting caught,1
Can you sneak online later after everyone sleeps,1
Delete my messages before anyone sees,1
Use vanish mode when you reply,1
Turn off screenshots when we talk,1
Don’t mention our private jokes to anyone,1
Meet me somewhere quiet without telling people,1
Come alone so nobody interrupts us,1
Don’t bring your phone when we meet,1
Tell me if someone asks about me,1
I’ll give you something special if you send a better pic,1
You can prove you care by keeping this secret,1
If you stop talking I’ll be really hurt,1
No one has to know what we share,1
You can send something just once I won’t ask again,1
Let me see what you’re wearing now,1
Show me on video when you’re by yourself,1
Hola.,0
hi.,0
whats up?,0
not a ton.,0
you?,0
same.  being lazy.  M or f?,0
F.,0
"Ditto, I&apos;ve done absolutely nothing with my day besides watching stuff on Hulu.",0
M here.  Just got home from weekend trip.  Tired.,0
"Oh, cool. Family thing?",0
yeah.,0
a &amp; l?,0
Gotta love those.,0
"17, Hawaii.",0
and yourself?,0
Uh oh.  older. 30,0
Been to Hawaii.,0
whoops xD,0
"It&apos;s nice, isn&apos;t it?",0
Yeah.  Always enjoy visiting.,0
Which Island you on Oahu?,0
married?,0
i&apos;m assuming since you went on a &apos;family&apos; trip :p,0
yeah. Just found this site a few days ago.,0
"Yeah, Oahu.",0
Curious to the whole &quot;random thing&quot;,0
"Pretty crazy the individuals you meet, isn&apos;t it?",0
It&apos;s been eye opening for sure.,0
"Yeah, I hear you.",0
I&apos;m pretty open to meet/talk to anyone.,0
"But pretty clear what most are looking for on this site, it seems.",0
Half the people that strike up a conversation only seem to be interested in more. . risque topics.,0
"What more do you expect though, ya know?",0
Yep.  It&apos;s the internet.,0
You seem to take it pretty well.,0
Pardon?,0
I just mean you seem to handle the obvious shennagans on here pretty well.,0
harder for ladies on here for sure.,0
"Ah, yeah.",0
That&apos;s what the wonderful &quot;disconnect&quot; button is for.,0
"LMAO, yes it is :)",0
"So..I said I was new to this, right?",0
"You mentioned it, yeah.",0
"I thought I&apos;d turn on cam.  After 10 mins, turned it off.",0
Went back to text.,0
"Yeah, I haven&apos;t bothered touching that button. Sounds too risky to me.",0
"It&apos;s a mix of stuff, but one big difference.",0
Cam = not such good conversation.,0
"It&apos;s the reason more individuals text than call these days. More response time, better things to say, suspense, etc.",0
Makes sense.,0
"So, you been using this site very long?",0
what interests you w/ it?,0
You see quite a few characters.,0
Gives me a laugh.,0
Bet it does.,0
"I think it&apos;s quite funny, trying to figure out people.",0
"Well, even though I&apos;m glad to chat w/ ya &amp; you&apos;re quite...probably better I let you connect w/ someone a bit younger, eh?",0
I s&apos;pose.,0
It was a pleasure meeting you.,0
Happy chatting!,0
You too!  Be safe!,0
bye,0
happy is ayuppie word.,0
a yuppie *,0
yuppie,0
hehe..,0
u know that song?,0
:P,0
it&apos;s good.,0
:D,0
Nopes,0
but are you a b or a g?,0
g,0
Awesome!,0
u?,0
"Oh, even more awesome!",0
Then let me use my fav line.,0
May this humble slave have the honour of chatting with Her Royal Highness? :P,0
what?,0
are you pertaining to me?,0
a slave?,0
me?,0
hehe..,0
haha. i can chat with you but i&apos;m not a slave.,0
:P,0
okay..,0
:D,0
errr...,0
XD..,0
hello???,0
are u there?,0
May this humble slave have the honour of chatting with HisRoyal Highness? :P,0
hi,0
hihi,0
m or f??,0
akjfkjasdkjfajkdfjkakdjflkajdlkfjaldkjflkjdflkjadljfkalkjdfaljkdfaljkd;lfjakldjf,0
alkjdflkjadlfjalkjdfalkjdf;lajddflkajdflkjad;lfjkalkjfajkfajkdfakljdflajkdflkajdflkajflkjadflkjadfljadflkjadlfjkadflkjalkjfajdf;lajdflkjalfkjakjdfajflajf;jkafd;jalfkdja;lkjdfaljkf;aljfaljf;ajdl,0
im a female a hot female,0
nothing to do,0
male,0
i need someone,0
someone who can take away my lonlyness,0
ok,0
i hope that can be you,0
I&apos;m here,0
so how can you take away my problem,0
?,0
wait i need to get off my panty to get masturbating,0
and you know that I just do what you have,0
oh really,0
i mean right now,0
yes,0
let&apos;s connect the webcam msn??,0
i hope we can do mutual masturbating,0
my webcam is broken,0
and thats why im bored,0
how about you lick my vagina,0
hold my tits,0
squeeze them,0
ah,0
yes,0
i like that feeling,0
send me a picture of you naked wheel,0
yes,0
wait can you be my pet,0
like you do everything i want example imagine me naked lick my vagina,0
yes,0
lick me everywhere,0
yes,0
your vagina and very Saburo,0
yes,0
give me your msn speak better for it,0
yes vagina masturbating to my face ....... ....... will go,0
hihi,0
telecon today?,0
apparently not,0
there is no agenda at least,0
is there something we should talk about,0
it is possible that I or masayuki will propose a change to wheel events,0
perhaps just a minor change,0
"5059ecaa4fb3ab1183f267bf1613010e, 0c8dce20967cf80665e60051b8ab2d3c, we can have a call if you like",0
delta values should probably be doubles,0
no!!!!!!,0
"well, ok",0
but I'm not sure,0
if it's okay with MS,0
yep,0
I need to discuss with masayuki first,0
"sorry, thought you meant is it ok to have a conference :-)",0
5059ecaa4fb3ab1183f267bf1613010e: anything particular to discuss about?,0
the real last call! :-) .... and any node list updates?,0
I didn't meet jresig when I was in US...,0
"so far only sicking's proposal can handle perhaps the most needed mutation event, DOMCharacterDataModified",0
"it is possible that we'll implement it right after FF4, with moz prefix",0
so that people can try it out,0
"yes, that's a limitation of resig's current proposal",0
are we going t have a call?,0
"sure, it'll probably be short",0
ok,0
"22813b6f9b851d152e2f2d99116de592, start telcon",0
is preparing a teleconference,0
logging to http://www.w3.org/2011/01/26-webapps-irc,0
"4e63bbbffbcaf12608512401eaf11240, make logs public",0
"I have made the request, 22813b6f9b851d152e2f2d99116de592",0
"17f9b78129866dff3cbd228a8d985fbf, this will be DOM3",0
"ok, 22813b6f9b851d152e2f2d99116de592; I see IA_WebApps(DOM3)2:00PM scheduled to start in 40 minutes",0
Meeting: Web Applications Working Group Teleconference,0
Date: 26 January 2011,0
"17f9b78129866dff3cbd228a8d985fbf, room for 3?",0
"ok, 227a9a17d1db3f8e5c71a150345fb2a6; conference Team_(webapps)18:20Z scheduled with code 26631 (CONF1) for 60 minutes until 1920Z",0
"5059ecaa4fb3ab1183f267bf1613010e: FYI, the reason for the possible change in wheel events is because Win7 supports &quot;high resolution&quot; scrolling",0
"17f9b78129866dff3cbd228a8d985fbf: call, 227a9a17d1db3f8e5c71a150345fb2a6",0
